,cg1,cg2,cg3,cg4,cg5,cl1,cl2,cl3,cw1,cw2,cw3,sg2,sg3,sg4,sg5,sg6,sl1,sl2,sl3,sw1,sw2,sw3
WBGene00000001,830,681,688,470,741,901,1150,668,823,829,624,0,1399,1346,1144,1562,977,954,232,1214,2875,2340
WBGene00000002,609,649,501,237,481,681,555,617,528,779,226,1,471,764,388,114,407,12,133,837,162,0
WBGene00000003,723,595,249,202,398,1088,759,312,557,349,91,131,960,455,442,516,782,121,158,872,723,536
WBGene00000004,561,513,453,331,712,565,454,341,390,395,234,0,221,146,237,370,1231,489,539,1230,469,2
WBGene00000005,403,330,313,130,166,471,387,403,436,547,204,0,356,82,130,51,270,319,260,306,679,111
WBGene00000006,620,627,708,392,1093,542,492,516,374,315,299,2,691,1349,991,1627,2645,632,605,2938,1996,568
WBGene00000007,777,741,286,100,155,853,659,582,657,614,359,0,448,26,76,36,264,51,5,654,384,486
WBGene00000008,74,96,44,13,26,80,57,34,46,31,26,0,61,155,0,0,16,50,0,74,30,65
WBGene00000009,84,78,34,25,25,111,79,41,65,76,23,0,79,14,1,74,47,0,0,40,42,4
WBGene00000010,811,611,716,455,681,907,941,580,785,851,293,0,864,92,421,168,905,250,278,980,1402,30
WBGene00000012,8,3,0,2,7,4,8,2,19,2,10,0,100,204,98,113,44,78,7,52,49,1
WBGene00000013,41,40,30,13,39,28,29,23,46,78,39,0,81,104,45,102,135,16,44,79,65,0
WBGene00000014,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,0,0,0,44,19,0
WBGene00000015,10,6,4,6,6,7,6,11,7,9,2,0,292,28,0,55,52,59,0,99,19,743
WBGene00000016,369,432,64,16,72,255,206,161,287,166,116,0,2276,5277,2901,3024,2364,1479,135,1257,455,0
WBGene00000017,418,405,53,26,62,364,296,56,391,214,41,0,303,1618,2046,1634,801,2299,163,497,212,1437
WBGene00000018,1403,1369,1030,718,1116,1194,1292,673,884,997,367,24,848,4760,2468,2004,2483,1016,772,1839,2201,654
WBGene00000019,192,114,171,108,115,412,386,64,176,214,50,0,353,0,0,136,922,399,396,689,627,3
WBGene00000020,1452,1295,837,549,861,1173,1362,726,768,861,271,0,618,723,2356,944,2896,1045,1470,2520,2119,30
WBGene00000021,21,20,46,21,36,32,34,25,7,21,8,0,43,13,0,0,138,16,6,73,76,2
WBGene00000022,3685,3592,3072,1929,2778,3224,3573,2601,2286,2303,997,0,2671,64,332,122,1022,187,424,2528,1956,2588
WBGene00000023,297,236,326,189,234,484,534,184,233,338,111,0,425,0,5,0,1132,3,958,1128,489,1
WBGene00000024,527,510,644,165,281,496,607,209,240,276,518,1,555,80,77,196,196,22,82,90,648,2
WBGene00000025,12,10,3,0,1,27,45,0,9,22,0,0,1,0,0,0,0,1,1,0,15,2
WBGene00000026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
WBGene00000027,74,44,132,14,22,87,124,62,46,62,64,0,66,0,0,0,4,0,66,0,49,2
WBGene00000028,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0
WBGene00000029,827,930,1386,330,564,641,715,430,376,386,666,5,637,196,136,277,534,90,0,377,501,0
WBGene00000030,837,829,1323,254,587,643,761,380,364,379,475,6269,1870,501,304,266,1147,372,0,1801,1410,92
WBGene00000031,2436,2170,3752,997,1975,1506,1857,1049,971,976,1479,0,6739,2442,1735,1741,4573,1417,1009,4832,5486,114
WBGene00000032,1,2,0,0,0,0,1,1,0,5,3,0,0,0,0,0,0,1,0,0,0,0
WBGene00000033,1074,1138,1207,272,644,961,1172,375,548,604,655,0,2612,2316,367,679,3036,682,0,1360,2157,2
WBGene00000034,1739,1576,2735,513,1024,1434,1879,770,948,1242,1265,0,1633,345,161,470,1344,0,124,1153,1451,4
WBGene00000035,342,331,345,135,375,308,271,253,201,178,108,0,195,685,995,708,605,13,12,699,443,79
WBGene00000036,1085,1041,678,351,867,859,780,520,658,675,233,1,54,400,725,682,290,161,423,441,629,704
WBGene00000037,234,252,142,69,153,188,192,96,137,120,50,212,190,713,377,160,727,158,319,1114,343,19
WBGene00000038,147,120,15,5,17,75,78,7,55,24,9,0,52,162,34,0,41,95,210,221,38,0
WBGene00000039,8982,7069,8867,6510,10908,7812,8028,6264,7317,11561,1897,10193,5375,1613,276,346,2053,65,174,1902,646,1431
WBGene00000040,16555,14220,16382,9621,10844,14864,15049,22395,13296,15131,12010,8698,11959,3479,2684,1532,5515,736,856,8511,4428,7184
WBGene00000041,34851,32210,36742,19517,31540,31191,33805,38802,26801,31821,29072,19797,11015,5684,5493,5965,15757,2896,4090,14567,8734,8177
WBGene00000042,95,99,74,58,104,95,77,63,64,77,51,33898,1251,10199,5059,1742,5492,3546,7207,21585,7645,11713
WBGene00000043,41,45,33,15,25,47,40,29,25,38,13,0,229,80,77,52,738,306,388,971,364,718
WBGene00000044,51,40,45,28,75,43,41,51,26,18,36,0,77,57,455,305,332,826,571,199,726,106
WBGene00000045,9,8,6,3,12,10,10,6,0,4,8,0,0,0,0,206,204,0,154,478,182,3
WBGene00000046,50,46,23,19,20,51,32,18,38,28,10,1,46,663,118,125,107,63,112,62,101,18
WBGene00000047,299,252,274,121,264,247,183,226,195,180,137,4,640,82,139,347,419,134,175,463,252,2
WBGene00000048,49,44,30,15,35,31,43,19,27,27,9,10737,471,8966,16533,9482,6149,15632,4869,10282,3001,8772
